id,name,price,type
31,product31,1000,1
32,product32,2000,1
33,product33,3000,1
34,product34,4000,1
35,product35,5000,1
36,product36,6000,1
37,product37,7000,1
38,product38,8000,1
39,product39,9000,1
40,product40,10000,1
41,product41,11000,2
42,product42,12000,2
43,product43,13000,2
44,product44,14000,2
45,product45,15000,2
46,product46,16000,2
47,product47,17000,2
48,product48,18000,2
49,product49,19000,2
50,product50,20000,2
51,product51,21000,3
52,product52,22000,3
53,product53,23000,3
54,product54,24000,3
55,product55,25000,3
56,product56,26000,3
57,product57,27000,3
58,product58,28000,3
59,product59,29000,3
60,product50,30000,3
